Month,#Passengers
Aug-18,5657
Jul-18,5378
Jun-18,4938
May-18,5013
Apr-18,5074
Mar-18,5140
Feb-18,4843
Jan-18,4647
Dec-17,4666
Nov-17,4646
Oct-17,4883
Sep-17,4655
Aug-17,5046
Jul-17,4860
Jun-17,4374
May-17,4498
Apr-17,4402
Mar-17,4431
Feb-17,4279
Jan-17,4393
Dec-16,4041
Nov-16,3971
Oct-16,4374
Sep-16,4169
Aug-16,4642
Jul-16,4353
Jun-16,3800
May-16,3897
Apr-16,4000
Mar-16,3894
Feb-16,3898
Jan-16,3736
Dec-15,3500
Nov-15,3498
Oct-15,3855
Sep-15,3672
Aug-15,4165
Jul-15,3915
Jun-15,3404
May-15,3541
Apr-15,3579
Mar-15,3670
Feb-15,3493
Jan-15,3246
Dec-14,3193
Nov-14,3240
Oct-14,3488
Sep-14,3315
Aug-14,3730
Jul-14,3580
Jun-14,3061
May-14,3134
Apr-14,3142
Mar-14,3025
Feb-14,3109
Jan-14,3058
Dec-13,2793
Nov-13,2851
Oct-13,3165
Sep-13,3049
Aug-13,3476
Jul-13,3266
Jun-13,2865
May-13,2855
Apr-13,2849
Mar-13,2878
Feb-13,2787
Jan-13,2567
Dec-12,2563
Nov-12,2584
Oct-12,2829
Sep-12,2744
Aug-12,3071
Jul-12,2995
Jun-12,2530
May-12,2540
Apr-12,2605
Mar-12,2503
Feb-12,2349
Jan-12,2567
Dec-11,2300
Nov-11,2371
Oct-11,2638
Sep-11,2501
Aug-11,2758
Jul-11,2660
Jun-11,2325
May-11,2407
Apr-11,2437
Mar-11,2282
Feb-11,2163
Jan-11,2267
Dec-10,2103
Nov-10,2078
Oct-10,2448
Sep-10,2260
Aug-10,2600
Jul-10,2547
Jun-10,2185
May-10,2153
Apr-10,2157
Mar-10,2173
Feb-10,2025
Jan-10,1941
Dec-09,1875
Nov-09,1958
Oct-09,2171
Sep-09,1931
Aug-09,2264
Jul-09,2103
Jun-09,1771
May-09,1882
Apr-09,1883
Mar-09,1800
Feb-09,1702
Jan-09,1748
Dec-08,1567
Nov-08,1700
Oct-08,1834
Sep-08,1641
Aug-08,1596
Jul-08,1718
Jun-08,1417
May-08,1536
Apr-08,1659
Mar-08,1581
Feb-08,1502
Jan-08,1500
Dec-07,1443
Nov-07,1531
Oct-07,1684
Sep-07,1625
Aug-07,1821
Jul-07,1745
Jun-07,1500
May-07,1500
Apr-07,1563
Mar-07,1483
Feb-07,1364
Jan-07,1200
Dec-06,1200
Nov-06,1322
Oct-06,1500
Sep-06,1400
Aug-06,1600
Jul-06,1500
Jun-06,1200
May-06,1300
Apr-06,1400
Mar-06,1300
Feb-06,1100
Jan-06,1100
Dec-05,1100
Nov-05,1200
Oct-05,1300
Sep-05,1200
Aug-05,1300
Jul-05,1300
Jun-05,1100
May-05,1100
Apr-05,1100
Mar-05,1000
Feb-05,1000
Jan-05,900
